START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/23/17,07:15 PM,10:15 PM,Mets at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7",06/23/17,06/24/17,10:15 PM,01:15 AM,FALSE,TRUE,06/23/17,06:15 PM,09:15 PM,FREE,BUSY
06/24/17,04:15 PM,07:15 PM,Mets at Giants,AT&T Park - San Francisco,"Local TV: FOX ----- Local Radio: KNBR 680- KXZM 93.7",06/24/17,06/24/17,07:15 PM,10:15 PM,FALSE,TRUE,06/24/17,03:15 PM,06:15 PM,FREE,BUSY
06/25/17,01:05 PM,04:05 PM,Mets at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/25/17,06/25/17,04:05 PM,07:05 PM,FALSE,TRUE,06/25/17,12:05 PM,03:05 PM,FREE,BUSY
06/26/17,07:08 PM,10:08 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA- ESPN ----- Local Radio: KNBR 680- KXZM 93.7",06/26/17,06/27/17,10:08 PM,01:08 AM,FALSE,TRUE,06/26/17,06:08 PM,09:08 PM,FREE,BUSY
06/27/17,07:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/27/17,06/28/17,10:15 PM,01:15 AM,FALSE,TRUE,06/27/17,06:15 PM,09:15 PM,FREE,BUSY
06/28/17,12:45 PM,03:45 PM,Rockies at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",06/28/17,06/28/17,03:45 PM,06:45 PM,FALSE,TRUE,06/28/17,11:45 AM,02:45 PM,FREE,BUSY
07/07/17,07:15 PM,10:15 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/07/17,07/08/17,10:15 PM,01:15 AM,FALSE,TRUE,07/07/17,06:15 PM,09:15 PM,FREE,BUSY
07/08/17,07:05 PM,10:05 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/08/17,07/09/17,10:05 PM,01:05 AM,FALSE,TRUE,07/08/17,06:05 PM,09:05 PM,FREE,BUSY
07/09/17,01:05 PM,04:05 PM,Marlins at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/09/17,07/09/17,04:05 PM,07:05 PM,FALSE,TRUE,07/09/17,12:05 PM,03:05 PM,FREE,BUSY
07/11/17,08:00 PM,08:00 PM,AL All-Stars at NL All-Stars,Marlins Park - Miami,"",07/11/17,07/11/17,11:00 PM,11:00 PM,FALSE,TRUE,07/11/17,07:00 PM,07:00 PM,FREE,BUSY
07/17/17,07:15 PM,10:15 PM,Indians at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/17/17,07/18/17,10:15 PM,01:15 AM,FALSE,TRUE,07/17/17,06:15 PM,09:15 PM,FREE,BUSY
07/18/17,07:15 PM,10:15 PM,Indians at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/18/17,07/19/17,10:15 PM,01:15 AM,FALSE,TRUE,07/18/17,06:15 PM,09:15 PM,FREE,BUSY
07/19/17,12:45 PM,03:45 PM,Indians at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/19/17,07/19/17,03:45 PM,06:45 PM,FALSE,TRUE,07/19/17,11:45 AM,02:45 PM,FREE,BUSY
07/20/17,07:15 PM,10:15 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7",07/20/17,07/21/17,10:15 PM,01:15 AM,FALSE,TRUE,07/20/17,06:15 PM,09:15 PM,FREE,BUSY
07/21/17,07:15 PM,10:15 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/21/17,07/22/17,10:15 PM,01:15 AM,FALSE,TRUE,07/21/17,06:15 PM,09:15 PM,FREE,BUSY
07/22/17,01:05 PM,04:05 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/22/17,07/22/17,04:05 PM,07:05 PM,FALSE,TRUE,07/22/17,12:05 PM,03:05 PM,FREE,BUSY
07/23/17,01:05 PM,04:05 PM,Padres at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/23/17,07/23/17,04:05 PM,07:05 PM,FALSE,TRUE,07/23/17,12:05 PM,03:05 PM,FREE,BUSY
07/24/17,07:15 PM,10:15 PM,Pirates at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/24/17,07/25/17,10:15 PM,01:15 AM,FALSE,TRUE,07/24/17,06:15 PM,09:15 PM,FREE,BUSY
07/25/17,07:15 PM,10:15 PM,Pirates at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/25/17,07/26/17,10:15 PM,01:15 AM,FALSE,TRUE,07/25/17,06:15 PM,09:15 PM,FREE,BUSY
07/26/17,12:45 PM,03:45 PM,Pirates at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",07/26/17,07/26/17,03:45 PM,06:45 PM,FALSE,TRUE,07/26/17,11:45 AM,02:45 PM,FREE,BUSY
08/02/17,07:15 PM,10:15 PM,Athletics at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/02/17,08/03/17,10:15 PM,01:15 AM,FALSE,TRUE,08/02/17,06:15 PM,09:15 PM,FREE,BUSY
08/03/17,07:15 PM,10:15 PM,Athletics at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/03/17,08/04/17,10:15 PM,01:15 AM,FALSE,TRUE,08/03/17,06:15 PM,09:15 PM,FREE,BUSY
08/04/17,07:15 PM,10:15 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/04/17,08/05/17,10:15 PM,01:15 AM,FALSE,TRUE,08/04/17,06:15 PM,09:15 PM,FREE,BUSY
08/05/17,06:05 PM,09:05 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/05/17,08/06/17,09:05 PM,12:05 AM,FALSE,TRUE,08/05/17,05:05 PM,08:05 PM,FREE,BUSY
08/06/17,01:05 PM,04:05 PM,D-backs at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/06/17,08/06/17,04:05 PM,07:05 PM,FALSE,TRUE,08/06/17,12:05 PM,03:05 PM,FREE,BUSY
08/07/17,07:15 PM,10:15 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7",08/07/17,08/08/17,10:15 PM,01:15 AM,FALSE,TRUE,08/07/17,06:15 PM,09:15 PM,FREE,BUSY
08/08/17,07:15 PM,10:15 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/08/17,08/09/17,10:15 PM,01:15 AM,FALSE,TRUE,08/08/17,06:15 PM,09:15 PM,FREE,BUSY
08/09/17,12:45 PM,03:45 PM,Cubs at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/09/17,08/09/17,03:45 PM,06:45 PM,FALSE,TRUE,08/09/17,11:45 AM,02:45 PM,FREE,BUSY
08/17/17,07:15 PM,10:15 PM,Phillies at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7",08/17/17,08/18/17,10:15 PM,01:15 AM,FALSE,TRUE,08/17/17,06:15 PM,09:15 PM,FREE,BUSY
08/18/17,07:15 PM,10:15 PM,Phillies at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/18/17,08/19/17,10:15 PM,01:15 AM,FALSE,TRUE,08/18/17,06:15 PM,09:15 PM,FREE,BUSY
08/19/17,06:05 PM,09:05 PM,Phillies at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/19/17,08/20/17,09:05 PM,12:05 AM,FALSE,TRUE,08/19/17,05:05 PM,08:05 PM,FREE,BUSY
08/20/17,01:05 PM,04:05 PM,Phillies at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/20/17,08/20/17,04:05 PM,07:05 PM,FALSE,TRUE,08/20/17,12:05 PM,03:05 PM,FREE,BUSY
08/21/17,07:15 PM,10:15 PM,Brewers at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/21/17,08/22/17,10:15 PM,01:15 AM,FALSE,TRUE,08/21/17,06:15 PM,09:15 PM,FREE,BUSY
08/22/17,07:15 PM,10:15 PM,Brewers at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/22/17,08/23/17,10:15 PM,01:15 AM,FALSE,TRUE,08/22/17,06:15 PM,09:15 PM,FREE,BUSY
08/23/17,12:45 PM,03:45 PM,Brewers at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",08/23/17,08/23/17,03:45 PM,06:45 PM,FALSE,TRUE,08/23/17,11:45 AM,02:45 PM,FREE,BUSY
08/31/17,07:15 PM,10:15 PM,Cardinals at Giants,AT&T Park - San Francisco,"Local TV: NBC Bay Area ----- Local Radio: KNBR 680- KXZM 93.7",08/31/17,09/01/17,10:15 PM,01:15 AM,FALSE,TRUE,08/31/17,06:15 PM,09:15 PM,FREE,BUSY
09/01/17,07:15 PM,10:15 PM,Cardinals at Giants,AT&T Park - San Francisco,"Local TV: NBCS BA ----- Local Radio: KNBR 680- KXZM 93.7",09/01/17,09/02/17,10:15 PM,01:15 AM,FALSE,TRUE,09/01/17,06:15 PM,09:15 PM,FREE,BUSY
